tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,score
tt5067306,tvEpisode,Double peine 1ère partie,Double peine 1ère partie,0,2016.0,,49.0,"['Crime', 'Drama', 'Mystery']",7.4,14,6.8624452806059715
tt4809422,tvEpisode,Blood and Fear,Blood and Fear,0,2015.0,,44.0,"['Action', 'Adventure', 'Crime']",7.6,392,7.315900488224237
tt0391320,video,The Making of 'The Big Lebowski',The Making of 'The Big Lebowski',0,1998.0,,25.0,"['Documentary', 'Short']",6.3,139,6.629549465182748
tt1763059,tvEpisode,Lady in the Lake,Lady in the Lake,0,2011.0,,41.0,"['Crime', 'Drama', 'Fantasy']",7.7,74,7.042159086426571
tt3514304,tvEpisode,Episode #2.19,Episode #2.19,0,2014.0,,22.0,"['Comedy', 'Game-Show']",6.7,9,6.824681525996853
tt9597142,tvEpisode,Skincrawlers/By the Silver Water of Lake Champlain,Skincrawlers/By the Silver Water of Lake Champlain,0,2019.0,,44.0,"['Fantasy', 'Horror']",7.1,294,6.981595034774859
tt4527626,tvEpisode,His Troubled Thoughts,His Troubled Thoughts,0,2016.0,,59.0,"['Crime', 'Drama', 'Thriller']",7.5,859,7.358891730870636
tt1059857,tvMovie,Which Way to the War,Which Way to the War,0,1994.0,,30.0,[],4.8,5,6.7862145435352605
tt9252828,tvEpisode,"Sardonicast #20: Chris Stuckmann, The Piano Teacher","Sardonicast #20: Chris Stuckmann, The Piano Teacher",0,2018.0,,111.0,"['Comedy', 'Talk-Show']",8.6,7,6.882094081301911
tt10885564,tvEpisode,Papa New Guinea,Papa New Guinea,0,2016.0,,48.0,[],8.8,5,6.871684629005347
tt1227699,tvEpisode,Fangs of Repentance,Fangs of Repentance,0,2008.0,,24.0,"['Action', 'Animation', 'Drama']",7.3,34,6.890396209837457
tt0858657,tvEpisode,Die Heimkehr,Die Heimkehr,0,1990.0,,95.0,"['Comedy', 'Drama', 'Romance']",7.2,6,6.83903916249894
tt7878838,video,Senna: The Test,Senna: The Test,0,2017.0,,26.0,"['Documentary', 'Short']",8.2,8,6.87584051977743
tt0084499,tvEpisode,"Pilgrim, Farewell","Pilgrim, Farewell",0,1982.0,,102.0,"['Comedy', 'Drama', 'Romance']",8.1,16,6.912547768111229
tt0218589,video,The Secret of Mulan,The Secret of Mulan,0,1998.0,,50.0,"['Animation', 'Family', 'Musical']",4.6,76,6.274013780941806
tt1405793,short,The Ugly File,The Ugly File,0,2009.0,,10.0,"['Horror', 'Short']",6.0,21,6.759896812749004
tt0808012,tvSeries,The Best and Worst of Tred Barta,The Best and Worst of Tred Barta,0,2004.0,,30.0,[],5.6,15,6.753992636013324
tt2989624,tvEpisode,America,America,0,2013.0,,12.0,"['Action', 'Comedy']",7.4,20,6.875398406374503
tt0954759,tvEpisode,Ben Franklin,Ben Franklin,0,2007.0,,21.0,[],8.1,2766,8.00286283912763
tt9139614,tvEpisode,The Story So Far,The Story So Far,0,2018.0,,41.0,[],7.9,19,6.911589528980851
tt0038461,movie,Deception,Deception,0,1946.0,,115.0,"['Crime', 'Drama', 'Film-Noir']",7.1,2860,7.079952801290791
tt1765093,tvEpisode,Episode #40.3,Episode #40.3,0,2010.0,,30.0,"['Comedy', 'Game-Show', 'News']",6.8,5,6.828949586270304
tt0430868,movie,33,33,0,2002.0,,75.0,[],6.4,41,6.7643489006935225
tt0026052,movie,Alias John Law,Alias John Law,0,1935.0,,59.0,"['Action', 'Adventure', 'Romance']",5.7,67,6.573899335092065
tt8947632,movie,Linglong Wells,Linglong Wells,0,2018.0,,90.0,[],3.7,10,6.69863683341946
tt4079196,short,M-Theory,M-Theory,0,2014.0,,16.0,"['Action', 'Sci-Fi', 'Short']",8.0,5,6.85459061191133
tt2016669,tvSeries,Serce,Serce,0,2008.0,2009.0,75.0,[],5.9,12,6.7832954489097546
tt4249040,tvEpisode,Into the Bone Cave,Into the Bone Cave,0,2014.0,,43.0,[],7.5,8,6.852211827794307
tt4762184,tvEpisode,In the Name of the Father,In the Name of the Father,0,2015.0,,22.0,[],7.8,77,7.07377190584069
tt7124590,tvEpisode,Chapter Thirty-Four: Judgment Night,Chapter Thirty-Four: Judgment Night,0,2018.0,,42.0,"['Crime', 'Drama', 'Mystery']",9.1,1859,8.850993392331059
tt2287867,movie,Little Anna and the Tall Uncle,Lilla Anna och Långa farbrorn,0,2012.0,,47.0,"['Animation', 'Family']",5.7,19,6.743041141884077
tt6015276,short,From Flint: Voices of a Poisoned City,From Flint: Voices of a Poisoned City,0,2016.0,,25.0,[],9.0,16,6.97132327831531
tt1882053,video,Chick Magnet,Chick Magnet,0,2011.0,,93.0,[],2.3,1012,3.135837391770549
tt6583418,tvEpisode,Come voleva la prassi,Come voleva la prassi,0,2017.0,,113.0,"['Crime', 'Drama', 'Mystery']",8.0,100,7.185331924581309
tt6181738,video,Pornstars Like It Black 2,Pornstars Like It Black 2,1,2016.0,,192.0,[],6.2,6,6.813507247605323
tt0365897,tvMovie,The Virtual Corpse,The Virtual Corpse,0,2003.0,,45.0,[],5.7,15,6.760140176996931
tt1319947,tvEpisode,The Fugitive,Owarerumi,0,2004.0,,23.0,"['Animation', 'Crime', 'Drama']",7.4,141,7.04695730591149
tt0207427,movie,La donzelletta,La donzelletta,0,1989.0,,64.0,[],4.4,5,6.777667534988252
tt0629107,tvEpisode,The Dating Game,The Dating Game,0,1980.0,,30.0,"['Comedy', 'Family']",7.4,30,6.8956532941592705
tt1990775,tvEpisode,Naughty Nurses,Naughty Nurses,0,2011.0,,43.0,[],7.6,5,6.846043603364321
tt0046136,movie,Der Obersteiger,Der Obersteiger,0,1952.0,,90.0,[],6.8,8,6.8285831358111855
tt3209826,movie,Patel Ki Punjabi Shaadi,Patel Ki Punjabi Shaadi,0,2017.0,,120.0,[],4.0,293,5.241329891163316
tt2076213,short,Hameno Koritsi,Hameno Koritsi,0,2012.0,,34.0,"['Drama', 'Horror', 'Short']",6.6,35,6.799144709042618
tt6528070,short,An Auto Body Experience,An Auto Body Experience,0,2015.0,,4.0,"['Crime', 'Short', 'Thriller']",8.4,5,6.863137620458338
tt0576500,tvEpisode,Tomorrow I Die,Tomorrow I Die,0,1995.0,,30.0,"['Crime', 'Drama', 'Mystery']",6.1,44,6.711993418268319
tt0036572,movie,1812,Kutuzov,0,1944.0,,95.0,[],7.0,80,6.873702922936087
tt2992634,short,La Niña,La Niña,0,2012.0,,39.0,[],6.7,10,6.824159845971761
tt7033478,tvEpisode,Everything I Can Do ... I CHOSE This Way of Life,Everything I Can Do ... I CHOSE This Way of Life,0,2017.0,,23.0,"['Action', 'Animation', 'Fantasy']",8.9,39,7.130873892489742
tt0629546,tvEpisode,Inert Dwarf,Inert Dwarf,0,2004.0,,55.0,"['Crime', 'Drama', 'Mystery']",8.1,176,7.38166469922778
tt2475872,tvEpisode,Sarah & Mari,Sarah & Mari,0,2012.0,,43.0,[],8.4,16,6.932139604845923
tt0463381,movie,Transylvania,Transylvania,0,2006.0,,103.0,[],6.8,2351,6.802625660150097
tt11780608,tvEpisode,Will You Marry Me?,Will You Marry Me?,0,2020.0,,59.0,[],6.1,123,6.574642622691053
tt1312993,movie,Mafrouza - Oh la nuit!,Mafrouza - Oh la nuit!,0,2007.0,,140.0,[],7.0,6,6.833932779520216
tt4084774,tvEpisode,Trial and Punishment,Trial and Punishment,0,2015.0,,56.0,"['Adventure', 'Drama']",8.8,289,7.928907728160716
tt0228197,movie,Death Magic,Death Magic,0,1992.0,,93.0,"['Horror', 'Thriller']",4.4,23,6.607834139631949
tt0051254,tvSeries,The Betty White Show,The Betty White Show,0,1958.0,,30.0,"['Comedy', 'Music']",6.5,17,6.8068057040132155
tt0624858,tvEpisode,Split the Difference,Split the Difference,0,1967.0,,60.0,[],7.3,15,6.858500832734635
tt1226244,movie,Mysteries,Mistéryos,0,2008.0,,81.0,[],4.8,24,6.637052186510874
tt0014903,short,The First 100 Years,The First 100 Years,0,1924.0,,14.0,"['Comedy', 'Short']",7.1,94,6.908279266833594
tt0109601,movie,Les derniers jours d'Emmanuel Kant,Les derniers jours d'Emmanuel Kant,0,1996.0,,70.0,[],7.1,64,6.888649157635669
tt0090469,tvSeries,The Last Precinct,The Last Precinct,0,1986.0,1986.0,60.0,[],7.7,35,6.944978042375951
tt9466572,tvShort,Campofrío: La tienda LOL,Campofrío: La tienda LOL,0,2018.0,,3.0,"['Comedy', 'Sci-Fi', 'Short']",6.3,26,6.775585110538239
tt1776201,movie,Hawi,Hawi,0,2010.0,,112.0,[],5.9,430,6.223026104988241
tt0852840,tvEpisode,Deadly Straw,Deadly Straw,0,2006.0,,50.0,"['Documentary', 'Mystery', 'Reality-TV']",7.4,103,7.006548804780877
tt2766470,tvEpisode,Swearing,Swearing,0,1999.0,,2.0,"['Animation', 'Comedy', 'Short']",7.5,8,6.852211827794307
tt5343728,tvEpisode,Potato Power,Potato Power,0,2016.0,,22.0,"['Comedy', 'Drama', 'Musical']",8.6,5,6.867411124731842
tt1876425,movie,Psycho Killer Bloodbath,Psycho Killer Bloodbath,0,2011.0,,95.0,"['Action', 'Horror', 'Thriller']",4.1,9,6.726362198265761
tt0503743,tvEpisode,The Ring,The Ring,0,2002.0,,60.0,"['Comedy', 'Drama', 'Family']",7.1,50,6.878043739022404
tt11193026,short,Coordinated Film,Coordinated Film,0,2019.0,,38.0,[],10.0,6,6.910528524201068
tt1673684,short,Stainless Assassin,Stainless Assassin,0,2010.0,,5.0,"['Action', 'Drama', 'Short']",4.9,15,6.710959849128078
tt0151531,movie,Magic Samson,Melech Hasalim,0,1988.0,,90.0,"['Comedy', 'Drama', 'Sport']",6.4,43,6.761669864659011
tt5074264,tvEpisode,Snow Wabbit/Aromatherapest,Snow Wabbit/Aromatherapest,0,2015.0,,11.0,"['Adventure', 'Animation', 'Comedy']",6.2,8,6.808329971254223
tt5502778,tvEpisode,Moral Hazard,Moral Hazard,0,2016.0,,42.0,"['Crime', 'Drama', 'Mystery']",8.6,144,7.513067568866624
tt2145794,short,The Dictator's Speech,The Dictator's Speech,0,2011.0,,4.0,"['Comedy', 'Short']",8.3,17,6.931195947915654
tt0118630,tvMovie,Any Place But Home,Any Place But Home,0,1997.0,,92.0,"['Crime', 'Drama', 'Thriller']",5.4,179,6.202387752909929
tt0074214,movie,Black Shampoo,Black Shampoo,0,1976.0,,85.0,"['Action', 'Comedy', 'Crime']",4.5,640,5.11389436500259
tt9668778,tvEpisode,Everything Wrong with American Beauty in 12 Minutes or Less,Everything Wrong with American Beauty in 12 Minutes or Less,0,2015.0,,14.0,[],7.0,6,6.833932779520216
tt0347971,tvMovie,The Secret Identity of Jack the Ripper,The Secret Identity of Jack the Ripper,0,1988.0,,80.0,"['Documentary', 'Drama']",7.1,83,6.90151988201042
tt0472259,movie,Alone with Her,Alone with Her,0,2006.0,,78.0,"['Crime', 'Drama', 'Thriller']",6.0,3738,6.0478886320109035
tt0556902,tvEpisode,The Wizard of Aberdeen,The Wizard of Aberdeen,0,1970.0,,30.0,[],8.1,17,6.917374809704272
tt10243628,tvSeries,Jailbirds,Jailbirds,0,2019.0,,45.0,[],7.2,738,7.112279424185369
tt6531888,tvSeries,Transferts,Transferts,0,2017.0,,56.0,"['Sci-Fi', 'Thriller']",7.4,691,7.258015438247013
tt6017168,tvEpisode,Episode #1.13635,Episode #1.13635,0,2016.0,,36.0,"['Crime', 'Drama', 'Romance']",8.8,6,6.879890226328727
tt0078135,short,Rah Hal-e Yek,Rah Hal-e Yek,0,1995.0,,11.0,"['Drama', 'Short']",7.2,43,6.888140452894305
tt1655035,tvEpisode,Dix-sept survivants,Dix-sept survivants,0,2010.0,,26.0,[],7.4,9,6.851152114232147
tt1518200,video,Going Back to 17,Going Back to 17,0,2009.0,,3.0,"['Documentary', 'Short']",7.2,6,6.83903916249894
tt0629203,tvEpisode,Charm City,Charm City,0,1996.0,,47.0,"['Crime', 'Drama', 'Mystery']",8.0,158,7.3074268816208034
tt0498222,tvSpecial,The 8th Annual Soul Train Christmas Starfest,The 8th Annual Soul Train Christmas Starfest,0,2005.0,,120.0,"['Family', 'Music']",8.9,10,6.916210055176782
tt1724384,tvEpisode,Pilot,Pilot,0,2011.0,,23.0,"['Comedy', 'Romance']",5.6,47,6.620196388359606
tt8530898,movie,Father and Hero,Father and Hero,0,2018.0,,102.0,"['Crime', 'Drama']",7.0,5,6.833223090543808
tt0892788,video,Puske en Piske: Warme wafels (met poedersuiker),Puske en Piske: Warme wafels (met poedersuiker),0,2006.0,,7.0,"['Action', 'Comedy', 'Short']",8.1,16,6.912547768111229
